pips,queen,blanks,solution,count
6,3,touching,2,202
6,3,touching,4,130
6,3,touching,5,81
6,3,touching,3,217
6,3,touching,1,81
6,3,touching,-1,227
6,3,touching,6,37
6,3,touching,8,5
6,3,touching,7,11
6,3,touching,9,2
6,3,touching,12,1
6,3,touching,0,5
6,3,touching,11,1
6,4,touching,5,141
6,4,touching,3,248
6,4,touching,-1,207
6,4,touching,4,243
6,4,touching,2,92
6,4,touching,8,6
6,4,touching,1,14
6,4,touching,6,38
6,4,touching,7,10
6,4,touching,0,1
6,5,touching,-1,173
6,5,touching,4,312
6,5,touching,5,246
6,5,touching,7,11
6,5,touching,3,147
6,5,touching,6,66
6,5,touching,2,41
6,5,touching,1,4
6,6,touching,6,157
6,6,touching,4,286
6,6,touching,5,337
6,6,touching,-1,81
6,6,touching,3,99
6,6,touching,2,14
6,6,touching,7,23
6,6,touching,1,3
6,3,redeal,4,203
6,3,redeal,5,90
6,3,redeal,2,203
6,3,redeal,-1,192
6,3,redeal,3,262
6,3,redeal,6,23
6,3,redeal,7,13
6,3,redeal,1,7
6,3,redeal,10,1
6,3,redeal,9,2
6,3,redeal,8,4
6,4,redeal,-1,190
6,4,redeal,5,188
6,4,redeal,4,304
6,4,redeal,7,17
6,4,redeal,3,211
6,4,redeal,6,47
6,4,redeal,2,39
6,4,redeal,10,1
6,4,redeal,8,3
6,5,redeal,4,292
6,5,redeal,-1,153
6,5,redeal,5,319
6,5,redeal,6,123
6,5,redeal,3,86
6,5,redeal,7,21
6,5,redeal,2,5
6,5,redeal,8,1
6,6,redeal,6,218
6,6,redeal,4,207
6,6,redeal,-1,71
6,6,redeal,5,436
6,6,redeal,7,39
6,6,redeal,3,27
6,6,redeal,8,1
6,6,redeal,2,1
6,3,wild,3,345
6,3,wild,1,120
6,3,wild,2,283
6,3,wild,-1,73
6,3,wild,4,160
6,3,wild,0,3
6,3,wild,5,16
6,4,wild,2,162
6,4,wild,-1,75
6,4,wild,3,361
6,4,wild,5,80
6,4,wild,4,274
6,4,wild,1,37
6,4,wild,6,10
6,4,wild,0,1
6,5,wild,4,320
6,5,wild,5,163
6,5,wild,2,129
6,5,wild,3,306
6,5,wild,-1,39
6,5,wild,7,2
6,5,wild,6,33
6,5,wild,1,8
6,6,wild,4,364
6,6,wild,5,238
6,6,wild,2,78
6,6,wild,3,227
6,6,wild,-1,51
6,6,wild,6,38
6,6,wild,1,3
6,6,wild,7,1
3,3,touching,1,275
3,3,touching,2,417
3,3,touching,0,33
3,3,touching,3,183
3,3,touching,4,39
3,3,touching,-1,43
3,3,touching,5,6
3,3,touching,6,2
3,3,touching,7,2
4,3,touching,4,106
4,3,touching,2,330
4,3,touching,-1,111
4,3,touching,3,227
4,3,touching,6,13
4,3,touching,1,169
4,3,touching,5,29
4,3,touching,7,5
4,3,touching,0,10
4,4,touching,3,376
4,4,touching,1,65
4,4,touching,-1,77
4,4,touching,4,196
4,4,touching,2,233
4,4,touching,5,47
4,4,touching,0,3
4,4,touching,6,3
5,3,touching,3,243
5,3,touching,2,249
5,3,touching,6,20
5,3,touching,1,108
5,3,touching,5,53
5,3,touching,4,124
5,3,touching,-1,180
5,3,touching,8,6
5,3,touching,10,1
5,3,touching,7,9
5,3,touching,0,6
5,3,touching,11,1
5,4,touching,-1,135
5,4,touching,2,153
5,4,touching,3,305
5,4,touching,5,94
5,4,touching,4,254
5,4,touching,7,4
5,4,touching,1,40
5,4,touching,6,14
5,4,touching,0,1
5,5,touching,5,180
5,5,touching,3,277
5,5,touching,-1,87
5,5,touching,6,25
5,5,touching,4,339
5,5,touching,2,77
5,5,touching,1,14
5,5,touching,7,1
3,3,redeal,3,366
3,3,redeal,2,499
3,3,redeal,1,55
3,3,redeal,4,49
3,3,redeal,-1,22
3,3,redeal,5,7
3,3,redeal,6,2
4,3,redeal,2,388
4,3,redeal,5,36
4,3,redeal,4,132
4,3,redeal,-1,90
4,3,redeal,3,311
4,3,redeal,7,6
4,3,redeal,1,26
4,3,redeal,6,11
4,4,redeal,2,156
4,4,redeal,4,272
4,4,redeal,5,49
4,4,redeal,3,476
4,4,redeal,-1,40
4,4,redeal,6,6
4,4,redeal,1,1
5,3,redeal,-1,171
5,3,redeal,2,247
5,3,redeal,3,298
5,3,redeal,4,167
5,3,redeal,5,65
5,3,redeal,6,17
5,3,redeal,1,24
5,3,redeal,7,9
5,3,redeal,8,2
5,4,redeal,6,20
5,4,redeal,3,311
5,4,redeal,5,156
5,4,redeal,4,334
5,4,redeal,2,57
5,4,redeal,-1,114
5,4,redeal,7,7
5,4,redeal,1,1
5,5,redeal,-1,44
5,5,redeal,3,191
5,5,redeal,4,472
5,5,redeal,5,244
5,5,redeal,6,39
5,5,redeal,2,6
5,5,redeal,7,4
3,3,wild,1,331
3,3,wild,3,146
3,3,wild,2,478
3,3,wild,0,35
3,3,wild,-1,3
3,3,wild,4,7
4,3,wild,1,211
4,3,wild,0,14
4,3,wild,2,427
4,3,wild,3,287
4,3,wild,4,37
4,3,wild,-1,23
4,3,wild,5,1
4,4,wild,2,391
4,4,wild,0,5
4,4,wild,4,101
4,4,wild,-1,11
4,4,wild,5,6
4,4,wild,1,96
4,4,wild,3,389
4,4,wild,6,1
5,3,wild,4,107
5,3,wild,2,357
5,3,wild,1,152
5,3,wild,3,323
5,3,wild,0,9
5,3,wild,-1,43
5,3,wild,5,9
5,4,wild,4,219
5,4,wild,3,358
5,4,wild,2,281
5,4,wild,1,72
5,4,wild,5,38
5,4,wild,6,1
5,4,wild,-1,30
5,4,wild,0,1
5,5,wild,5,78
5,5,wild,3,388
5,5,wild,1,26
5,5,wild,4,303
5,5,wild,2,190
5,5,wild,6,7
5,5,wild,-1,7
5,5,wild,0,1
